id,question_number,lesson_name,lesson_group,topic,year,pdf_name,question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,explanation
e114b37e-8b8e-4046-976d-2352d39cacc8,1,Türkçe,Genel Dersler,Türkçe,,sgs_2026_1_lisans_a_grubu_ingilizce.pdf,"Aşağıdaki cümlelerin hangisinde kalıp söz (deyim, atasözü), anlamına uygun bir bağlamda kullanılmamıştır?",A) ...,B) ...,C) ...,D) ...,C,orta,
00b773b6-d4b8-4e79-8653-e5fe8bdc77d3,1,Türkçe,Genel Dersler,Yazım Yanlışları,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,Yukarıdaki parçada numaralanmış cümlelerin hangisinde yazım yanlışı yoktur?,A) I,B) II,C) III,D) IV,C,kolay,C şıkkı doğrudur çünkü cümlede yazım yanlışı yoktur.
fae0c9d0-c8c7-4459-a993-3e216ac22c90,2,Matematik,Genel Dersler,Denklem,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"𝒂 = 𝟒𝟖𝟐𝟗 ve 𝒃 = 𝟒𝟖𝟐𝟒 olduğuna göre, (𝒂+𝒃)𝟐 − 𝟒𝒂𝒃 ifadesinin değeri aşağıdakilerden hangisidir?",A) 16,B) 25,C) 36,D) 49,C,orta,C şıkkı doğrudur çünkü denklem çözümü 36 sonucunu verir.
dcd3db35-b27f-448e-a80e-7cb5ec4f9a84,3,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"Aşağıdakilerden hangisi II. Dünya Savaşı’na giden süreçte, Türkiye’nin güvenlik arayışlarının bir sonucu olarak elde etmiş olduğu dış politik kazanımlardan biri değildir?",A) Birleşmiş Milletler’de kurucu üye olarak yer almak,B) Hatay’ın Türkiye’ye katılmasını sağlamak,C) Balkan Antantı’na katılmak,D) Sadabat Paktı’nı oluşturmak,C,orta,C şıkkı doğrudur çünkü Balkan Antantı Türkiye’nin güvenlik arayışları ile ilgili değildir.
f87c832d-d198-4e28-a8bf-82dd654725c0,4,İngilizce,Genel Dersler,Grammar,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,A global mobile network company has just ---- its four-year $60 million sponsorship deal with Manchester United Football Club.,A) ended,B) invested,C) lied,D) called,A,kolay,A şıkkı doğrudur çünkü 'ended' kelimesi cümlede doğru anlamı taşır.
b5797300-3e50-44f3-9322-02be751a1ccf,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2016_3_lisans_a_grubu_ingilizce.pdf,"ABC A.Ş.’nin döneme ilişkin bazı bilgileri aşağıda verilmiştir: Sermaye 800.000 TL, Ödenmemiş Sermaye 200.000 TL, Dönem Net Kârı 250.000 TL. Buna göre, şirketin döneme ilişkin 1. Tertip Yedek Akçe ve 1. Temettü tutarı sırasıyla aşağıdakilerden hangisidir?","A) 12.500 TL, 30.000 TL","B) 12.500 TL, 40.000 TL","C) 40.000 TL, 30.000 TL","D) 30.000 TL, 40.000 TL",A,zor,A şıkkı doğrudur çünkü hesaplamalar sonucunda bu değerler elde edilir.
fb8a27f1-edf7-4b29-ab05-60216f26f3cd,1,Türkçe,Genel Dersler,Yazım Yanlışları,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Yukarıdaki cümlelerden hangisinde yazım yanlışı vardır?,A) I,B) II,C) III,D) IV,A,kolay,I. cümlede 'şişirecek' kelimesi yanlış yazılmıştır.
6f5f52b5-f970-4b3e-b5dc-e122cbdc1689,2,Türkçe,Genel Dersler,Anlam,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Bu cümlede geçen 'küçük dilini yutmak' sözüyle anlatılmak istenen aşağıdakilerden hangisidir?,A) Şaşırmak,B) Üzülmek,C) Sevinmek,D) Kızmak,A,kolay,'Küçük dilini yutmak' ifadesi şaşırmak anlamında kullanılır.
d1478fc3-e3fc-4f53-b7c4-0bf71cabcf31,3,Matematik,Genel Dersler,Denklemler,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Aşağıdaki denklemi sağlayan x değerlerinin toplamı kaçtır?,A) -3,B) 0,C) 1,D) 4,B,orta,Denklemi çözdüğümüzde x değerleri toplamı 0 çıkar.
d5b8a4a7-6fe3-4faf-9568-f6cdb09caa94,4,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Osmanlı Devleti’nde 19. yüzyılda gerçekleşen olay ve gelişmelerle ilgili bir adlandırma yapıldığında aşağıdakilerden hangisi yanlıştır?,A) Çırağan Vakası,B) Sened-i İttifak,C) Balta Limanı Antlaşması,D) Takvim-i Vekayi,A,orta,"Çırağan Vakası, Yeniçeri Ocağının kaldırılması ile ilgili değildir."
afbc77b2-c1cc-4a81-ae57-7770324942af,5,İngilizce,Genel Dersler,Grammar,,sgs_2017_1_lisans_a_grubu_ingilizce.pdf,Richard says his car is ---- because he designed it himself.,A) polite,B) brave,C) possible,D) slim,E,kolay,Cümlede 'unique' kelimesi doğru seçenektir.
d0c11921-789c-4f59-9910-e6825bbe0ca8,1,Türkçe,Genel Dersler,Dil Bilgisi,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Yukarıdaki cümlede numaralanmış sözcüklerden hangisi yalnızca çekim eki almıştır?,A) I,B) II,C) III,D) IV,B,kolay,II şıkkı doğrudur çünkü yalnızca çekim eki almıştır.
c544b204-6b65-4087-9ce4-67b9829df14b,2,Matematik,Genel Dersler,Denklem,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,8x - 6 = 11 denkleminin çözümü nedir?,A) 1,B) 2,C) 3,D) 4,C,orta,Denklemi çözdüğümüzde x = 3 bulunur.
272502ee-53d0-42c0-ba74-caef95c85370,3,Tarih - Genel Kültür,Genel Dersler,Cumhuriyet,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Yeni Türk Devleti’nin sınırlarını belirleyen antlaşma hangisidir?,A) Lozan Antlaşması,B) Gümrü Antlaşması,C) Moskova Antlaşması,D) Sevr Antlaşması,A,kolay,"Lozan Antlaşması, Türkiye Cumhuriyeti'nin sınırlarını belirlemiştir."
794a738e-8441-47dd-b0f8-82435c76398c,4,İngilizce,Genel Dersler,Grammar,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Jane had an excellent math teacher at school ---- encouraged her to do maths at university.,A) when,B) why,C) where,D) who,D,orta,Doğru cevap 'who' çünkü öğretmeni tanımlıyor.
779e3105-f49f-4a51-9c9e-658c1c5cd4c7,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2017_3_lisans_a_grubu_ingilizce.pdf,Aşağıdaki kayıt aşağıdaki işlemlerden hangisine aittir?,"A) Bankadaki kredi hesabından, aynı bankadaki ticari mevduat hesabına yapılan virman",B) Bankadaki ticari mevduat hesabına faiz tahakkuku,C) Bankada ticari mevduat hesabı açtırılması,D) Bankaya olan kredi borcunun faiziyle birlikte ödenmesi,B,zor,"Faiz tahakkuku, bankadaki ticari mevduat hesabına kaydedilir."
59d9e839-6016-42eb-a826-dc93f1303927,1,Türkçe,Genel Dersler,Noktalama,,sgs_2018_3_lisans_a_grubu_ingilizce.pdf,Yukarıdaki parçada boş bırakılmış yerlere sırasıyla hangi noktalama işaretleri getirilmelidir?,"A) (-) (-) (“) (,) (,) (”)","B) (;) (,) (;) (:) (,) (…) ","C) (“) (”) (…) (,) (;) (.)","D) (,) (-) (.) (;) (;) (.)",C,orta,C şıkkı doğrudur çünkü noktalama işaretleri doğru bir şekilde yerleştirilmiştir.
10756617-fcc5-48a2-a846-80d521fc9f2a,2,Türkçe,Genel Dersler,Anlatım Bozukluğu,,sgs_2018_3_lisans_a_grubu_ingilizce.pdf,"Yukarıdaki cümlede anlatım bozukluğu, aşağıdakilerden hangisiyle giderilebilir?",A) “Kemal Baysal’ı” yerine “Kemal Baysal’ın” getirilerek,B) “başladığı” yerine “başlayan” sözcüğü getirilerek,C) “lise eğitimi” yerine “lise öğrenimi” sözü getirilerek,D) “çocukken” sözcüğü atılarak,B,orta,B şıkkı doğrudur çünkü anlatım bozukluğunu düzeltmektedir.
833362a7-a665-4ede-9f09-44c7a650c3a1,3,Matematik,Genel Dersler,Fonksiyon,,sgs_2018_3_lisans_a_grubu_ingilizce.pdf,"𝒇(𝒙) = 𝟐𝒙𝟒 −𝒂𝒙𝟐 + 𝒃 fonksiyonunun grafiğinin A(1,0) noktasında x eksenine teğet olması için 𝒂+ 𝒃 kaç olmalıdır?",A) 2,B) 4,C) 6,D) 8,C,zor,C şıkkı doğrudur çünkü teğetlik koşulunu sağlamaktadır.
fc41c6d9-53d3-4a39-bead-f2817266b493,4,Matematik,Genel Dersler,Denklem,,sgs_2018_3_lisans_a_grubu_ingilizce.pdf,𝒇(𝒙+ 𝟑) = 𝟐𝒙−𝟑 olduğuna göre 𝒇(𝟐) + 𝒇(𝟑) değeri kaçtır?,A) -18,B) -16,C) -12,D) -10,B,orta,B şıkkı doğrudur çünkü verilen denklemi çözdüğümüzde bu sonuca ulaşırız.
2912311c-cfdd-42c6-9276-73a0c563840a,5,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2018_3_lisans_a_grubu_ingilizce.pdf,"Birinci Dünya Savaşı’nda, 1916 yılında Basra yakınlarında gerçekleşen Kut-ül Amare Muharebesi’nde, Osmanlı Birlikleri aşağıdaki devletlerin hangisinin ordusuna karşı zafer kazanmıştır?",A) Fransa,B) Rusya,C) İngiltere,D) İtalya,C,orta,C şıkkı doğrudur çünkü Osmanlı Birlikleri İngiltere'ye karşı zafer kazanmıştır.
bfaa6d02-22c5-451b-96a4-24082c225dc2,1,Türkçe,Genel Dersler,Anlatım Bozukluğu,,sgs_2019_1_lisans_a_grubu_ingilizce.pdf,Yukarıdaki parçada numaralandırılmış cümlelerden hangisi düşüncenin akışını bozmaktadır?,A) I,B) II,C) III,D) IV,B,kolay,B şıkkı doğrudur çünkü II. cümle düşüncenin akışını bozmaktadır.
90fa1a3c-8649-46de-a826-18a814108f2f,2,Matematik,Genel Dersler,Denklem,,sgs_2019_1_lisans_a_grubu_ingilizce.pdf,"7. 2x + 2 + 1. 2x = 72 Buna göre, x değeri kaçtır?",A) 1,B) 2,C) 3,D) 4,D,orta,D şıkkı doğrudur çünkü x = 4 olarak bulunmuştur.
53b2aefc-dce5-48ab-9119-48812c2c0ad5,3,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2019_1_lisans_a_grubu_ingilizce.pdf,"23 Aralık 1876’da ilan edilen Osmanlı tarihindeki ilk Anayasa olan Kanun-u Esasi’ye göre, halkın seçtiği kişilerden oluşan meclis aşağıdakilerden hangisidir?",A) Meşveret Meclisi,B) Divan-ı Hümayun,C) Meclis-i Ayan,D) Saltanat Şurası,E,orta,E şıkkı doğrudur çünkü Meclis-i Mebusan halkın seçtiği kişilerden oluşmaktadır.
c361bbf7-cfba-47ab-bbd3-1f19b155becf,4,İngilizce,Genel Dersler,Grammar,,sgs_2019_1_lisans_a_grubu_ingilizce.pdf,"We offer many different services all around the country, but we ---- in book-keeping and financial support.",A) specialize,B) repair,C) meet,D) invite,A,kolay,A şıkkı doğrudur çünkü cümlede 'specialize' kelimesi uygun bir fiildir.
a5eaf960-a9af-47bc-a9a7-89e0e2b0f0bf,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2019_1_lisans_a_grubu_ingilizce.pdf,Aşağıdaki hesaplardan hangisinin kalanı 'Dönem Kârı veya Zararı hesabı'nın alacak tarafına aktarılır?,A) Özel Maliyetler,B) Gelir Tahakkukları,C) Maliyet Gideri Karşılığı,D) Gelecek Aylara Ait Gelirler,B,zor,B şıkkı doğrudur çünkü Gelir Tahakkukları hesabı dönem kârına aktarılır.
0b524b77-3d86-49a5-99b9-d9eb87960ddc,1,Türkçe,Genel Dersler,Dil Bilgisi,,sgs_2019_3_lisans_a_grubu_ingilizce.pdf,Aşağıdaki cümlelerin hangisinde virgül yanlış kullanılmıştır?,A) ...,B) ...,C) ...,D) ...,D,kolay,D şıkkı doğrudur çünkü virgül gereksiz yere kullanılmıştır.
ff1ada9f-a1bf-4643-92c0-4ff48f8fb7f7,2,Matematik,Genel Dersler,Denklem,,sgs_2019_3_lisans_a_grubu_ingilizce.pdf,𝑥 + 2 = 5 denkleminin çözümü nedir?,A) 2,B) 3,C) 4,D) 5,B,orta,Denklemi çözdüğümüzde x = 3 bulunur.
ab7f2d22-c23b-4d76-a59b-b4e86c2b75d6,3,Tarih - Genel Kültür,Genel Dersler,Cumhuriyet,,sgs_2019_3_lisans_a_grubu_ingilizce.pdf,Cumhuriyetin ilanı hangi yılda olmuştur?,A) 1920,B) 1921,C) 1923,D) 1924,C,orta,Cumhuriyet 1923 yılında ilan edilmiştir.
98b1372a-c8ee-414a-8e6c-5eb944fe72e4,4,İngilizce,Genel Dersler,Grammar,,sgs_2019_3_lisans_a_grubu_ingilizce.pdf,Which sentence is correct?,A) He go to school.,B) He goes to school.,C) He going to school.,D) He gone to school.,B,kolay,B şıkkı doğrudur çünkü doğru fiil çekimi kullanılmıştır.
a1c531a1-37fa-4cb8-99e7-9f3f2b62bd94,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2019_3_lisans_a_grubu_ingilizce.pdf,Bilanço nedir?,A) Gelir tablosu,B) Varlıkların ve borçların listesi,C) Nakit akış tablosu,D) Kar dağıtım tablosu,B,orta,"Bilanço, varlıkların ve borçların listesi olarak tanımlanır."
91db9c54-dd15-493b-869c-397208b865e7,1,Türkçe,Genel Dersler,Noktalama,,sgs_2020_2_lisans_a_grubu_ingilizce.pdf,"Bu parçada ayraçlarla belirtilen yerlere, sırasıyla aşağıdakilerin hangisinde verilen noktalama işaretleri getirilmelidir?",A) (?) (…) (.) (…) (-) (.) (!),"B) (,) (?) (!) (?) (,) (;) (…)",,,A,orta,A şıkkı doğrudur çünkü noktalama işaretleri doğru bir şekilde yerleştirilmiştir.
0476c88a-db22-4697-a3b6-e41f35687116,2,Matematik,Genel Dersler,Fonksiyon,,sgs_2020_2_lisans_a_grubu_ingilizce.pdf,𝒇(𝒙) = 𝐥𝐧⁡(𝟏−√𝒙−𝟐) fonksiyonunun reel sayılar kümesi içerisindeki en geniş tanım kümesi aşağıdakilerden hangisidir?,"A) (1,3)","B) (2,3]","C) [2,3]","D) [2,3)",C,zor,"C şıkkı doğrudur çünkü tanım kümesi [2,3] aralığını kapsamaktadır."
274be5da-e49d-4de9-a6d5-e64674c373bf,3,Tarih - Genel Kültür,Genel Dersler,Cumhuriyet,,sgs_2020_2_lisans_a_grubu_ingilizce.pdf,"Millî Mücadele’nin başlarında, Mustafa Kemal Paşa ile resmî olmayan görüşmeler yapmak üzere Sivas’a gelen Fransız yetkili aşağıdakilerden hangisidir?",A) Amiral Bristol,B) James G. Harbord,C) Georges Picot,D) Kont Sforza,C,orta,"C şıkkı doğrudur çünkü Georges Picot, bu görüşmelerde yer almıştır."
80edb088-09d9-42c9-9f30-c63995ffb805,4,İngilizce,Genel Dersler,Grammar,,sgs_2020_2_lisans_a_grubu_ingilizce.pdf,"According to the World Health Organization, the COVID-19 ---- in Wuhan, China in December 2019.",A) originates,B) has originated,C) might originate,D) could originate,E,kolay,E şıkkı doğrudur çünkü geçmişte gerçekleşen bir olayı ifade etmektedir.
ee767d06-6055-4675-a9f2-16becc996702,2,Matematik,Genel Dersler,Matematik,,sgs_2026_1_lisans_a_grubu_ingilizce.pdf,𝐥𝐨𝐠𝟑(𝟒𝒙+𝟏) = 𝟐 eşitliğini sağlayan 𝒙 reel sayısı kaçtır?,A) 1,B) 2,C) 3,D) 4,B,zor,
eda30f45-ba70-41ac-b61f-52346313b89a,4,İngilizce,Genel Dersler,İngilizce,,sgs_2026_1_lisans_a_grubu_ingilizce.pdf,"In recent years, historians ---- several new letters from the Roman period.",A) have discovered,B) are discovering,C) discover,D) had to discover,A,orta,
e2e35376-3756-42c6-98d0-9c2daf8056f3,5,Finansal Muhasebe,Muhasebe,Finansal Muhasebe,,sgs_2026_1_lisans_a_grubu_ingilizce.pdf,"Hasan Balcı bu sezon oynadığı 35 maçta 21 gol, 4 asist yaptı. Bu cümlede anlatım bozukluğunun nedeni nedir?",A) Yüklem eksikliği,B) Özne eksikliği,C) Dolaylı tümleç eksikliği,D) Nesne eksikliği,A,zor,
12d68971-cb68-4cbe-bca0-db048f94741d,1,Türkçe,Genel Dersler,Yazım,,sgs_2016_2_lisans_a_grubu_almanca.pdf,Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır?,A) Başöğretmen Mustafa Kemal Atatürk’ü özlemle anıyoruz.,B) Bu ilaç hastalığıma bire bir.,C) Birtakım düşünceler belleğini kurcalıyordu.,D) Onu tanımadığını farz etsen ne olur.,E,kolay,E şıkkı doğrudur çünkü 'tezgah' kelimesinin yazımı yanlıştır.
26bbb6ac-85f0-4ddf-8d9e-cb6202053073,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2020_2_lisans_a_grubu_ingilizce.pdf,"Bir işletme 2016 yılında satın aldığı kayıtlı değeri 60.000 ₺, yararlı ömrü 5 yıl olan makinesine 2019 yılında 20.000 ₺ değerinde yeni parça taktırmıştır. Buna göre, 2019 yılı sonunda makineye ayrılacak amortisman tutarı aşağıdakilerden hangisidir?",A) 8.800 ₺,B) 11.000 ₺,C) 11.200 ₺,D) 16.000 ₺,B,orta,B şıkkı doğrudur çünkü amortisman hesaplaması bu şekilde yapılmaktadır.
818d3e59-8622-4b5c-b24d-1c422d96cd55,1,Türkçe,Genel Dersler,Dil Bilgisi,,sgs_2021_1_lisans_a_grubu_ingilizce.pdf,"Aşağıdaki cümlelerin hangisinde ikileme, yakın anlamlı sözcüklerle oluşmuştur?",A) Az sonra bu sokaklarda ses seda duyulmayacaktı.,B) Yaydığı yalan yanlış haberlerle çevresindekileri tedirgin ediyordu.,C) Yıllardır görmediği torununa doya doya sarılmak istiyordu.,D) O sıralar komşularımız bize çat pat gelirlerdi.,B,kolay,B şıkkı doğrudur çünkü 'yalan' ve 'yanlış' kelimeleri yakın anlamlıdır.
5a4a0c3c-91b1-4e5e-aee3-1a2073bd5916,2,Matematik,Genel Dersler,Denklemler,,sgs_2021_1_lisans_a_grubu_ingilizce.pdf,𝑥 + 1/𝑥 = 3 olduğuna göre 𝑥^4 + 1/𝑥^4 ifadesinin değeri aşağıdakilerden hangisidir?,A) 30,B) 32,C) 35,D) 40,B,orta,B şıkkı doğrudur çünkü denklemi çözerek 𝑥^4 + 1/𝑥^4 değerini buluyoruz.
2610ce8d-2acf-4e03-a493-cdc331f6bba3,3,Tarih - Genel Kültür,Genel Dersler,Osmanlı,,sgs_2021_1_lisans_a_grubu_ingilizce.pdf,"Osmanlı Devleti'nde anayasal ve parlamentolu dönem, ilk kez aşağıdakilerden hangisiyle başlamıştır?",A) Birinci Meşrutiyet Dönemi,B) İkinci Meşrutiyet Dönemi,C) Nizam-ı Cedit Devri,D) Lale Devri,A,orta,A şıkkı doğrudur çünkü anayasal dönem Birinci Meşrutiyet ile başlamıştır.
414d938f-2722-4aa5-9859-2a13cccf919f,4,İngilizce,Genel Dersler,Grammar,,sgs_2021_1_lisans_a_grubu_ingilizce.pdf,Money is a form of exchange that is widely ---- in payment for goods and services and in settlement of debts.,A) invented,B) accepted,C) corrected,D) built,B,kolay,B şıkkı doğrudur çünkü 'accepted' kelimesi cümlede uygun bir şekilde kullanılmıştır.
7d18d338-2065-4063-b6bf-e90a862414cd,5,Mali Tablolar Analizi,Muhasebe,Bilanço,,sgs_2021_1_lisans_a_grubu_ingilizce.pdf,"Aşağıdaki işlemlerden hangisi, aktifleştirilmiş gider kavramına bir örnek olarak verilebilir?",A) Amortismana tabi bir maddi duran varlık satın alınması,B) Stokların vadeli olarak satılması,C) Faydalı ömrünü henüz tamamlamamış olan bir demirbaşın kârlı olarak satılması,D) Faydalı ömrünü tamamlamış bir maddi duran varlığın kârlı olarak satılması,A,orta,"A şıkkı doğrudur çünkü aktifleştirilmiş gider, maddi duran varlık alımını ifade eder."
8134cb0e-0a66-45f3-93f4-d8720fa8dfac,1,Türkçe,Genel Dersler,noktalama,,sgs_2021_3_lisans_a_grubu_ingilizce.pdf,Bu parçada ayraçlarla belirtilen yerlere aşağıdaki noktalama işaretlerinden hangileri sırayla getirilmelidir?,"A) (;) (,) (?) (,) (;) (,) (.)","B) (:) (,) (?) (;) (,) (,) (.)","C) (,) (,) (?) (,) (,) (-) (.)","D) (;) (,) (.) (;) (,) (-) (.)",A,orta,A şıkkı doğrudur çünkü noktalama işaretleri cümledeki anlamı doğru yansıtmaktadır.
70f342f6-6dcb-4129-be6c-53c444859da2,2,Matematik,Genel Dersler,oran,,sgs_2021_3_lisans_a_grubu_ingilizce.pdf,"x sayısının yarısı y sayısının 3 katına eşittir. Buna göre, x-y-z ifadesinin eşiti aşağıdakilerden hangisidir?",A) 3,B) 4,C) 5,D) 2x,B,orta,B şıkkı doğrudur çünkü verilen oranlar kullanılarak doğru sonuca ulaşılmıştır.
b327bb75-4e65-41b9-9459-76ba7aef85ef,3,Tarih - Genel Kültür,Genel Dersler,Cumhuriyet,,sgs_2021_3_lisans_a_grubu_ingilizce.pdf,"Türkiye Cumhuriyeti, Atatürk Dönemi olarak adlandırılan 1923-1938 yılları arasında, Akdeniz'in güvenliği ile ilgili aşağıdaki antlaşmalardan hangisini imzalamıştır?",A) Nyon Antlaşması,B) Berlin Antlaşması,C) Paris Antlaşması,D) Atina Antlaşması,A,orta,A şıkkı doğrudur çünkü Nyon Antlaşması bu dönemde imzalanmıştır.
81c7c417-ac55-422e-bb7b-8edd9d8f3ca2,4,İngilizce,Genel Dersler,grammar,,sgs_2021_3_lisans_a_grubu_ingilizce.pdf,Ancient Greek people ---- the positions of the stars to navigate and find out the best time to plant crops.,A) use,B) used,C) are using,D) will use,B,orta,B şıkkı doğrudur çünkü geçmiş zaman kullanımı gerekmektedir.
0338c4b6-a712-482e-a30d-1791ad2a3c2e,5,Mali Tablolar Analizi,Muhasebe,bilanço,,sgs_2021_3_lisans_a_grubu_ingilizce.pdf,"İşletmenin bilançosundan alınan bilgiler şöyledir: Sermaye 200.000 ₺, Kâr Yedekleri 125.000 ₺. Buna göre, 'Ödenmemiş Sermaye' tutarı aşağıdakilerden hangisidir?",A) 25.000 ₺,B) 50.000 ₺,C) 75.000 ₺,D) 100.000 ₺,B,orta,B şıkkı doğrudur çünkü verilen bilgilerden hesaplama yapılmıştır.
